AT4T32P3 - Lakota - 5_5_411_50
 red=58418, ir=65811
time=23988, red=54359, ir=59293
time=24008, red=54370, ir=59282
HR=75, SP=99
time=24032, red=54350, ir=59260
time=24048, red=54338, ir=59250
time=24068, red=54322, ir=59212
time=24088, red=54328, ir=59194
time=24108, red=54320, ir=59181
time=24128, red=54309, ir=59150
time=24148, red=54324, ir=59141
time=24168, red=54305, ir=59120
time=24188, red=54310, ir=59113
time=24208, red=54325, ir=59096
time=24228, red=54322, ir=59090
time=24248, red=54329, ir=59081
time=24268, red=54320, ir=59084
time=24288, red=54338, ir=59074
time=24308, red=54342, ir=59070
time=24328, red=54358, ir=59071
time=24348, red=54362, ir=59069
time=24368, red=54358, ir=59082
time=24388, red=54367, ir=59090
time=24408, red=54359, ir=59083
time=24428, red=54377, ir=59098
time=24448, red=54362, ir=59093
time=24468, red=54370, ir=59088
time=24488, red=54397, ir=59092
time=24508, red=54390, ir=59104
time=24528, red=54376, ir=59107
time=24548, red=54387, ir=59128
time=24569, red=54397, ir=59120
time=24589, red=54389, ir=59122
time=24609, red=54386, ir=59133
time=24629, red=54408, ir=59133
time=24649, red=54394, ir=59131
time=24669, red=54388, ir=59142
time=24689, red=54388, ir=59134
time=24709, red=54405, ir=59145
time=24729, red=54392, ir=59133
time=24749, red=54402, ir=59143
time=24769, red=54399, ir=59156
time=24789, red=54399, ir=59154
time=24809, red=54398, ir=59151
time=24829, red=54402, ir=59157
time=24849, red=54398, ir=59159
time=24869, red=54393, ir=59162
time=24889, red=54399, ir=59177
time=24909, red=54405, ir=59179
time=24929, red=54409, ir=59178
time=24949, red=54389, ir=59183
time=24969, red=54402, ir=59202
time=24989, red=54412, ir=59201
time=25009, red=54407, ir=59222
time=25029, red=54418, ir=59207
time=25049, red=54419, ir=59207
time=25069, red=54417, ir=59221
time=25089, red=54423, ir=59216
time=25109, red=54403, ir=59221
time=25129, red=54423, ir=59226
time=25149, red=54426, ir=59249
time=25169, red=54400, ir=59239
time=25189, red=54430, ir=59241
time=25209, red=54419, ir=59240
time=25229, red=54420, ir=59257
time=25249, red=54428, ir=59256
time=25270, red=54409, ir=59259
time=25290, red=54419, ir=59274
time=25310, red=54427, ir=59271
time=25330, red=54413, ir=59280
time=25350, red=54433, ir=59284
time=25370, red=54423, ir=59299
time=25390, red=54435, ir=59281
time=25410, red=54422, ir=59266
