AT4T21P2 - Pris - 5_5_411_50, movement around 80k ms
time=26623, red=46898, ir=54192
time=26643, red=46899, ir=54204
time=26663, red=46889, ir=54213
time=26683, red=46906, ir=54206
time=26703, red=46909, ir=54211
time=26723, red=46904, ir=54209
time=26743, red=46909, ir=54203
time=26763, red=46905, ir=54197
time=26783, red=46910, ir=54212
time=26803, red=46909, ir=54213
time=26823, red=46905, ir=54224
time=26843, red=46911, ir=54220
time=26863, red=46911, ir=54229
time=26883, red=46916, ir=54224
time=26903, red=46921, ir=54236
time=26923, red=46919, ir=54241
time=26943, red=46911, ir=54249
time=26963, red=46907, ir=54249
time=26983, red=46912, ir=54268
time=27003, red=46915, ir=54266
time=27023, red=46915, ir=54286
time=27043, red=46908, ir=54290
time=27063, red=46905, ir=54292
time=27083, red=46914, ir=54299
time=27103, red=46923, ir=54301
time=27123, red=46917, ir=54307
time=27143, red=46923, ir=54302
time=27163, red=46917, ir=54330
time=27183, red=46911, ir=54328
time=27203, red=46911, ir=54329
time=27223, red=46916, ir=54339
time=27243, red=46921, ir=54347
time=27263, red=46920, ir=54349
time=27283, red=46918, ir=54349
time=27303, red=46923, ir=54360
time=27323, red=46924, ir=54382
time=27343, red=46914, ir=54374
time=27363, red=46917, ir=54385
time=27383, red=46919, ir=54387
time=27403, red=46930, ir=54376
time=27423, red=46920, ir=54376
time=27443, red=46910, ir=54372
time=27463, red=46902, ir=54360
time=27483, red=46886, ir=54335
time=27503, red=46888, ir=54316
time=27523, red=46883, ir=54306
time=27543, red=46880, ir=54268
time=27563, red=46862, ir=54277
time=27583, red=46846, ir=54249
time=27603, red=46860, ir=54236
time=27623, red=46871, ir=54224
time=27643, red=46856, ir=54217
time=27663, red=46865, ir=54219
time=27683, red=46868, ir=54207
time=27703, red=46866, ir=54209
time=27723, red=46874, ir=54200
time=27743, red=46875, ir=54203
time=27763, red=46884, ir=54204
time=27783, red=46892, ir=54223
time=27803, red=46899, ir=54217
time=27823, red=46901, ir=54229
time=27843, red=46906, ir=54231
time=27863, red=46914, ir=54248
time=27883, red=46913, ir=54244
time=27903, red=46918, ir=54247
time=27923, red=46931, ir=54264
time=27943, red=46915, ir=54262
time=27963, red=46917, ir=54271
HR=92, SP=80
time=27987, red=46906, ir=54266
time=28003, red=46901, ir=54265
time=28023, red=46912, ir=54281
time=28043, red=46903, ir=54279
time=28063, red=46928, ir=54278
time=28083, red=46928, ir=54278
time=28103, red=46917, ir=54275
time=28123, red=46924, ir=54297
time=28143, red=46912, ir=54296
time=28163, red=46926, ir=54302
