AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=20817, red=52214, ir=58296
time=20837, red=52205, ir=58298
time=20857, red=52200, ir=58309
time=20877, red=52213, ir=58307
time=20897, red=52216, ir=58313
time=20917, red=52201, ir=58304
time=20937, red=52208, ir=58318
time=20957, red=52207, ir=58327
time=20977, red=52200, ir=58323
time=20997, red=52194, ir=58312
time=21017, red=52200, ir=58329
time=21037, red=52202, ir=58319
time=21057, red=52208, ir=58331
time=21077, red=52197, ir=58342
time=21097, red=52197, ir=58351
time=21117, red=52206, ir=58353
time=21137, red=52207, ir=58364
time=21157, red=52200, ir=58362
time=21177, red=52195, ir=58376
time=21197, red=52181, ir=58363
time=21217, red=52186, ir=58379
time=21237, red=52178, ir=58360
time=21258, red=52184, ir=58361
time=21278, red=52190, ir=58387
time=21298, red=52180, ir=58375
time=21318, red=52181, ir=58386
time=21338, red=52173, ir=58370
time=21358, red=52173, ir=58381
time=21378, red=52183, ir=58400
time=21398, red=52172, ir=58398
time=21418, red=52188, ir=58402
time=21438, red=52173, ir=58392
time=21458, red=52171, ir=58383
time=21478, red=52172, ir=58382
time=21498, red=52167, ir=58363
time=21518, red=52142, ir=58361
time=21538, red=52142, ir=58331
time=21558, red=52135, ir=58302
time=21578, red=52128, ir=58282
time=21598, red=52138, ir=58275
time=21618, red=52125, ir=58236
time=21638, red=52112, ir=58249
time=21658, red=52110, ir=58225
time=21678, red=52112, ir=58205
time=21698, red=52109, ir=58197
time=21718, red=52107, ir=58175
time=21738, red=52124, ir=58190
time=21758, red=52131, ir=58195
time=21778, red=52135, ir=58166
time=21798, red=52135, ir=58171
time=21818, red=52144, ir=58163
time=21838, red=52162, ir=58185
time=21858, red=52147, ir=58183
time=21878, red=52160, ir=58181
time=21898, red=52165, ir=58190
time=21918, red=52194, ir=58192
time=21938, red=52169, ir=58205
time=21958, red=52187, ir=58200
time=21978, red=52204, ir=58191
time=21998, red=52189, ir=58190
HR=146, SP=-1
time=22018, red=52207, ir=58206
time=22038, red=52195, ir=58193
time=22058, red=52204, ir=58191
time=22078, red=52199, ir=58190
time=22098, red=52173, ir=58173
time=22118, red=52194, ir=58182
time=22138, red=52204, ir=58182
time=22158, red=52196, ir=58175
time=22178, red=52216, ir=58191
time=22198, red=52215, ir=58185
time=22218, red=52230, ir=58191
time=22239, red=52225, ir=58212
time=22259, red=52221, ir=58209
time=22279, red=52232, ir=58222
time=22299, red=52237, ir=58232
time=22319, red=52253, ir=58239
time=22339, red=52243, ir=58237
time=22359, red=52234, ir=58232
time=22379, red=52241, ir=58226
time=22399, red=52238, ir=58246
time=22419, red=52235, ir=58223
time=22439, red=52229, ir=58220
time=22459, red=52222, ir=58237
time=22479, red=52241, ir=58231
time=22499, red=52234, ir=58233
time=22519, red=52232, ir=58232
time=22539, red=52231, ir=58237
time=22559, red=52258, ir=58245
time=22579, red=52238, ir=58253
time=22599, red=52249, ir=58246
time=22619, red=52244, ir=58253
time=22639, red=52232, ir=58250
time=22659, red=52225, ir=58252
time=22679, red=52232, ir=58269
time=22699, red=52229, ir=58252
time=22719, red=52218, ir=58261
time=22739, red=52230, ir=58273
time=22759, red=52232, ir=58268
time=22779, red=52228, ir=58284
time=22799, red=52234, ir=58277
time=22819, red=52220, ir=58278
time=22839, red=52218, ir=58280
time=22859, red=52223, ir=58292
time=22879, red=52217, ir=58285
time=22899, red=52215, ir=58296
time=22919, red=52215, ir=58282
time=22939, red=52199, ir=58295
time=22959, red=52208, ir=58286
time=22979, red=52210, ir=58286
time=22999, red=52212, ir=58299
time=23019, red=52205, ir=58298
time=23039, red=52209, ir=58283
time=23059, red=52182, ir=58276
time=23079, red=52188, ir=58267
time=23099, red=52173, ir=58255
time=23119, red=52168, ir=58237
time=23139, red=52160, ir=58229
time=23159, red=52159, ir=58210
time=23179, red=52162, ir=58197
time=23199, red=52143, ir=58183
time=23219, red=52152, ir=58170
time=23239, red=52163, ir=58184
time=23260, red=52156, ir=58163
time=23280, red=52143, ir=58169
time=23300, red=52173, ir=58170
time=23320, red=52167, ir=58169
time=23340, red=52171, ir=58142
time=23360, red=52168, ir=58153
time=23380, red=52183, ir=58157
time=23400, red=52197, ir=58125
time=23420, red=52192, ir=58119
time=23440, red=52199, ir=58111
time=23460, red=52204, ir=58114
time=23480, red=52199, ir=58122
time=23500, red=52212, ir=58121
time=23520, red=52224, ir=58136
time=23540, red=52236, ir=58139
time=23560, red=52244, ir=58121
time=23580, red=52246, ir=58130
time=23600, red=52237, ir=58128
time=23620, red=52250, ir=58125
time=23640, red=52247, ir=58135
time=23660, red=52240, ir=58139
time=23680, red=52252, ir=58123
time=23700, red=52237, ir=58126
time=23720, red=52255, ir=58112
time=23740, red=52249, ir=58101
time=23760, red=52231, ir=58105
time=23780, red=52235, ir=58085
time=23800, red=52234, ir=58076
time=23820, red=52236, ir=58075
time=23840, red=52230, ir=58076
time=23860, red=52231, ir=58081
time=23880, red=52244, ir=58078
time=23900, red=52253, ir=58090
time=23920, red=52258, ir=58120
time=23940, red=52244, ir=58104
time=23960, red=52267, ir=58110
time=23980, red=52270, ir=58122
time=24000, red=52289, ir=58152
HR=260, SP=44
time=24025, red=52298, ir=58175
time=24040, red=52316, ir=58215
time=24060, red=52335, ir=58246
time=24080, red=52332, ir=58270
time=24100, red=52319, ir=58245
time=24120, red=52304, ir=58228
